name,type,cuisine,address,lat,lon,phone,website,opening_hours
Andy's Pizza,restaurant,burger;pizza;regional,Bulevardul Ștefan cel Mare și Sfânt,47.0280410,28.8296509,+373 22 265-434,https://andys.md/,Mo-Su 09:30-23:00
Rock'n'Roll Cafe,cafe,,Strada Vlaicu Pârcălab,47.0231792,28.8357131,,,24/7
La Taifas,restaurant,regional;romanian,Strada București,47.0203607,28.8294585,,,Mo-Su 10:00-23:00
Andy's Pizza,restaurant,pizza,Bulevardul Moscova,47.0470380,28.8633440,+373 22 265-427,https://andys.md/,Mo-Su 09:00-23:00
Twister,fast_food,kebab,Bulevardul Moscova,47.0474054,28.8629584,,,
Andy's Pizza,restaurant,pizza;burger,Strada Ion Creangă,47.0277343,28.7941386,+373 22 265-428,https://andys.md/,Mo-Su 10:00-22:00
La Plăcinte,restaurant,,Strada Mitropolit Dosoftei,47.0278638,28.8334908,+373 22 265 430,https://www.laplacinte.md/,Mo-Su 09:00-22:00
Andy's Pizza,restaurant,burger;pizza;regional,Strada Alba Iulia,47.0349403,28.7757654,+373 22 210 210,https://www.andys.md,Mo-Su 10:00-23:00
Andy's Pizza,restaurant,pizza;regional;burger,Strada Gheorghe Asachi,47.0000780,28.8208715,,https://andys.md/,Mo-Su 09:00-23:00
Cactus,pub,,Strada Armenească,47.0180641,28.8366338,,,
McDonald's,fast_food,burger,Strada Alecu Russo,47.0446338,28.8610796,,,Mo-Su 07:00-00:00
McDonald's,fast_food,burger,Bulevardul Ștefan cel Mare și Sfânt,47.0233520,28.8347661,,https://mcdonalds.md/,Su-Th 07:00-00:30; Fr-Sa 07:00-02:30
Jack's Bar & Grill,restaurant,,Bulevardul Constantin Negruzzi,47.0151543,28.8543348,+373 789 94 444,http://jacks.md,24/7
Forshmak Gastronomic Restaurant,restaurant,jewish,Bulevardul Constantin Negruzzi,47.0150362,28.8543331,,http://forshmak.md,
Vatra Veche,restaurant,regional;romanian,Strada Melestiu,47.0020276,28.8491802,+(373)693 71 237,,Mo-Su 11:00-24:00
Star Kebab,fast_food,diner;kebab,Bulevardul Grigore Vieru,47.0296368,28.8391630,,https://starkebab.md/,Mo-Su 08:00-21:00
Foișor,restaurant,,Strada Miron Costin,47.0502315,28.8661875,,,
513,bar,,Strada Vasile Alecsandri,47.0191507,28.8359571,+373 22 908 513,,
,cafe,,,47.0620567,28.8464991,,,
Vector,cafe,,Strada Vasile Alecsandri,47.0109194,28.8276837,,,
La Roma,restaurant,italian,Strada Albișoara,47.0332918,28.8464628,+37368383232,,Mo-Su 09:00-22:00
Fanconi,restaurant,,Bulevardul Renașterii Naționale,47.0362819,28.8489300,,,
Torro Grill,restaurant,steak_house,Strada Nicolae Dimo,47.0483444,28.8707651,+373 791 74 174,https://torrogrill.md/,Mo-Fr 09:00-24:00
Mr. Green,cafe,,Strada Pietrarilor,47.0002212,28.8042357,,,
Plăcintărie,fast_food,regional,,47.0020682,28.8152043,,,Mo-Su 09:00-20:00
Café Mon Ami,cafe,coffee_shop,Strada Petru Zadnipru,47.0443088,28.8827857,,,24/7
Andy's Pizza,restaurant,pizza;burger,Bulevardul Mircea cel Bătrân,47.0393526,28.8906452,,https://www.andys.md,
AiPetry,cafe,,,47.0183499,28.8535519,,,
Andy's Pizza,restaurant,pizza;burger,Strada Calea Ieșilor,47.0408277,28.8005384,+373(022)26-54-29,https://andys.md/,Mo-Su 10:00-23:00
